Batch,IoU,Dice Coefficient,Pixel Accuracy
Batch_138,0.19732236862182617,0.3280208110809326,0.9822063446044922
Batch_139,0.21755464375019073,0.35652250051498413,0.9820556640625
Batch_140,0.17523729801177979,0.2905377745628357,0.9799957275390625
Batch_141,0.15496256947517395,0.25697222352027893,0.9807643890380859
Batch_142,0.19149130582809448,0.31805986166000366,0.9813079833984375
Batch_143,0.17935755848884583,0.30051058530807495,0.9807834625244141
Batch_144,0.23386608064174652,0.3700177073478699,0.9835739135742188
Batch_145,0.17600120604038239,0.2965373694896698,0.9810905456542969
Batch_146,0.14298060536384583,0.2413102090358734,0.9792442321777344
Batch_147,0.19290900230407715,0.31845006346702576,0.9810600280761719
Batch_148,0.14333996176719666,0.24367205798625946,0.9802322387695312
Batch_149,0.21550367772579193,0.3522520661354065,0.9811305999755859
Batch_150,0.15352675318717957,0.2648654580116272,0.9802112579345703
Batch_151,0.26783517003059387,0.4149461090564728,0.9831409454345703
Batch_152,0.2488858699798584,0.3963422179222107,0.9824810028076172
Batch_153,0.1846141219139099,0.3084794878959656,0.9809513092041016
Batch_154,0.1596304476261139,0.2720504105091095,0.9806556701660156
Batch_155,0.19762979447841644,0.3253410756587982,0.9827957153320312
Batch_156,0.1432487517595291,0.24951110780239105,0.9807243347167969
Batch_157,0.1645582765340805,0.2798435091972351,0.9802875518798828
Batch_158,0.20641258358955383,0.3406074047088623,0.9830207824707031
Batch_159,0.23115666210651398,0.374137818813324,0.9806766510009766
Batch_160,0.20230376720428467,0.3300135135650635,0.9828071594238281
Batch_161,0.166954904794693,0.28274431824684143,0.9810657501220703
Batch_162,0.16864553093910217,0.28528887033462524,0.9811153411865234
Batch_163,0.15655437111854553,0.26904863119125366,0.9793205261230469
Batch_164,0.1248370036482811,0.21307407319545746,0.9790172576904297
Batch_165,0.1984710693359375,0.32872524857521057,0.9820156097412109
Batch_166,0.1892319619655609,0.30772674083709717,0.980560302734375
Batch_167,0.18708482384681702,0.3125883936882019,0.9817886352539062
Batch_168,0.20635002851486206,0.3370518386363983,0.9819011688232422
Batch_169,0.2082967758178711,0.3425842523574829,0.9803562164306641
Batch_170,0.22705473005771637,0.36783987283706665,0.9806423187255859
Batch_171,0.19377824664115906,0.32232874631881714,0.9813728332519531
Batch_172,0.1895618438720703,0.31145796179771423,0.9805831909179688
Batch_173,0.26852482557296753,0.4158085882663727,0.9823112487792969
Batch_174,0.17772682011127472,0.29798388481140137,0.98193359375
Batch_175,0.18115222454071045,0.3038436472415924,0.9808673858642578
Batch_176,0.17947793006896973,0.3031587600708008,0.9813098907470703
Batch_177,0.18794409930706024,0.30975985527038574,0.9803085327148438
Batch_178,0.16804742813110352,0.2817668914794922,0.9809188842773438
Batch_179,0.13505682349205017,0.22964933514595032,0.9806632995605469
Batch_180,0.2070188820362091,0.3389742970466614,0.9797992706298828
Batch_181,0.19485309720039368,0.32494205236434937,0.9803581237792969
Batch_182,0.22170791029930115,0.35879743099212646,0.9835071563720703
Batch_183,0.15158826112747192,0.26229578256607056,0.9797763824462891
Batch_184,0.164986714720726,0.2816125750541687,0.9813022613525391
Batch_185,0.2301691472530365,0.37376222014427185,0.9834384918212891
Batch_186,0.23698896169662476,0.3816729784011841,0.9827995300292969
Batch_187,0.15986384451389313,0.27493613958358765,0.9790496826171875
Batch_188,0.17439281940460205,0.2960624694824219,0.9800910949707031
Batch_189,0.20327796041965485,0.33685967326164246,0.9807605743408203
Batch_190,0.16826608777046204,0.28661051392555237,0.9798450469970703
Batch_191,0.1381799429655075,0.23867611587047577,0.97845458984375
Batch_192,0.19400334358215332,0.3196762800216675,0.9828929901123047
Batch_193,0.22724655270576477,0.36907875537872314,0.9820613861083984
Batch_194,0.14977620542049408,0.2432708740234375,0.9788494110107422
Batch_195,0.18832768499851227,0.3059253990650177,0.9802589416503906
Batch_196,0.16675417125225067,0.2791142463684082,0.9812850952148438
Batch_197,0.1795356273651123,0.30068185925483704,0.9803676605224609
Batch_198,0.16234633326530457,0.2763438820838928,0.9800090789794922
Batch_199,0.15596771240234375,0.2636334300041199,0.9795951843261719
Batch_200,0.1389356255531311,0.23794613778591156,0.9804286956787109
Batch_201,0.17645123600959778,0.2982521057128906,0.9801864624023438
Batch_202,0.22353458404541016,0.35988548398017883,0.9825992584228516
Batch_203,0.20589040219783783,0.3388722538948059,0.98187255859375
Batch_204,0.18783029913902283,0.31420189142227173,0.9814510345458984
Batch_205,0.2183503359556198,0.35770824551582336,0.9830265045166016
Batch_206,0.15205354988574982,0.2619571089744568,0.9799365997314453
Batch_207,0.17440493404865265,0.2922968566417694,0.9796695709228516
Batch_208,0.18487662076950073,0.3107062578201294,0.9804592132568359
Batch_209,0.16646599769592285,0.2852148413658142,0.9792537689208984
Batch_210,0.20536820590496063,0.3378679156303406,0.9799995422363281
Batch_211,0.14224161207675934,0.24702224135398865,0.9787063598632812
Batch_212,0.23976658284664154,0.37926316261291504,0.9839420318603516
Batch_213,0.16310721635818481,0.2787725329399109,0.9790916442871094
Batch_214,0.22044703364372253,0.36068105697631836,0.9836082458496094
Batch_215,0.15128245949745178,0.2612387537956238,0.9803104400634766
Batch_216,0.2009202390909195,0.33299288153648376,0.9814395904541016
Batch_217,0.18586988747119904,0.313096284866333,0.9840106964111328
Batch_218,0.1855824738740921,0.3054947555065155,0.9792690277099609
Batch_219,0.1678347885608673,0.2849889397621155,0.9798145294189453
Batch_220,0.1833300143480301,0.3081696033477783,0.9799957275390625
Batch_221,0.20094820857048035,0.3311847746372223,0.9822444915771484
Batch_222,0.21237024664878845,0.34957194328308105,0.9821872711181641
Batch_223,0.17587125301361084,0.2954231798648834,0.9789409637451172
Batch_224,0.20693546533584595,0.3411934971809387,0.9805240631103516
Batch_225,0.19483543932437897,0.3222651481628418,0.9827766418457031
Batch_226,0.2065993845462799,0.34164994955062866,0.9835777282714844
Batch_227,0.15692631900310516,0.2684968411922455,0.9790248870849609
Batch_228,0.1807730793952942,0.3029218018054962,0.9793949127197266
Batch_229,0.19090496003627777,0.3154586851596832,0.9835624694824219
Batch_230,0.12420918047428131,0.2171754539012909,0.9794502258300781
Batch_231,0.1707228422164917,0.28705209493637085,0.9822292327880859
Batch_232,0.19724634289741516,0.32781076431274414,0.9811077117919922
Batch_233,0.21982072293758392,0.3516213893890381,0.9823894500732422
Batch_234,0.2049180120229721,0.3360097408294678,0.9809951782226562
Batch_235,0.25390997529029846,0.40205705165863037,0.9817962646484375
Batch_236,0.18518713116645813,0.3103618323802948,0.9807395935058594
Batch_237,0.21837066113948822,0.3467556834220886,0.9811687469482422
Batch_238,0.24634557962417603,0.3918370008468628,0.9846019744873047
Batch_239,0.1789856255054474,0.3006194829940796,0.9788703918457031
Batch_240,0.14033371210098267,0.24342557787895203,0.9795799255371094
Batch_241,0.16691388189792633,0.27823859453201294,0.9802951812744141
Batch_242,0.18945783376693726,0.3172299861907959,0.9803943634033203
Batch_243,0.14472079277038574,0.24989911913871765,0.9809398651123047
Batch_244,0.13812467455863953,0.2368115484714508,0.9799652099609375
Batch_245,0.2074427604675293,0.3375261425971985,0.9843902587890625
Batch_246,0.17283201217651367,0.2909705936908722,0.9798030853271484
Batch_247,0.19724512100219727,0.3289347290992737,0.9804191589355469
Batch_248,0.19925469160079956,0.33052897453308105,0.9805431365966797
Batch_249,0.26938319206237793,0.4226856827735901,0.9861412048339844
Batch_250,0.13175314664840698,0.22891637682914734,0.9782352447509766
Batch_251,0.19671157002449036,0.3231561779975891,0.9811515808105469
Batch_252,0.19799669086933136,0.3264293670654297,0.9809150695800781
Batch_253,0.20401620864868164,0.3364909291267395,0.9816703796386719
Batch_254,0.16049368679523468,0.27559810876846313,0.9812908172607422
Batch_255,0.2141876518726349,0.3506072759628296,0.9832878112792969
Batch_256,0.19556137919425964,0.32449811697006226,0.9833564758300781
Batch_257,0.19133266806602478,0.3143542408943176,0.9798126220703125
Batch_258,0.19474071264266968,0.3232106864452362,0.9832000732421875
Batch_259,0.13092255592346191,0.23066693544387817,0.9809627532958984
Batch_260,0.15492911636829376,0.267461359500885,0.9813194274902344
Batch_261,0.1947491317987442,0.32068121433258057,0.9818401336669922
Batch_262,0.16487464308738708,0.2812022566795349,0.9814281463623047
Batch_263,0.12107338756322861,0.21496179699897766,0.9801483154296875
Batch_264,0.2151530385017395,0.35309112071990967,0.9813098907470703
Batch_265,0.23482996225357056,0.3788256347179413,0.9806957244873047
Batch_266,0.10969799757003784,0.19620585441589355,0.9800052642822266
Batch_267,0.19197532534599304,0.30922263860702515,0.9807720184326172
Batch_268,0.1597142368555069,0.2746933698654175,0.9811668395996094
Batch_269,0.18392276763916016,0.3073595464229584,0.9810104370117188
Batch_270,0.2163904458284378,0.347107857465744,0.9812145233154297
Batch_271,0.2683020532131195,0.4229532778263092,0.9811267852783203
Batch_272,0.22067663073539734,0.3610306680202484,0.9807701110839844
Batch_273,0.2226157784461975,0.3623359203338623,0.9807167053222656
Batch_274,0.21076378226280212,0.3413636386394501,0.9812278747558594
Batch_275,0.1691247969865799,0.2881184220314026,0.9802017211914062
Batch_276,0.20490600168704987,0.3367348313331604,0.98052978515625
Batch_277,0.18471801280975342,0.30941247940063477,0.9797859191894531
Batch_278,0.125979483127594,0.2193586528301239,0.9804668426513672
Batch_279,0.2877533435821533,0.4449068009853363,0.9827499389648438
Batch_280,0.1914995014667511,0.3201555609703064,0.9795894622802734
Batch_281,0.164098858833313,0.2812316417694092,0.9830570220947266
Batch_282,0.2291383594274521,0.37263023853302,0.9820976257324219
Batch_283,0.16748924553394318,0.27891403436660767,0.9818706512451172
Batch_284,0.22534850239753723,0.36462801694869995,0.9801826477050781
Batch_285,0.22068220376968384,0.358562707901001,0.9811210632324219
Batch_286,0.22402940690517426,0.3637882173061371,0.9827060699462891
Batch_287,0.1448756456375122,0.24796675145626068,0.9794845581054688
Batch_288,0.17788484692573547,0.29879581928253174,0.9805374145507812
Batch_289,0.13248181343078613,0.23357822000980377,0.9808311462402344
Batch_290,0.20105960965156555,0.32805508375167847,0.9808921813964844
Batch_291,0.16143813729286194,0.270366370677948,0.9813861846923828
Batch_292,0.22009292244911194,0.35961437225341797,0.9821586608886719
Batch_293,0.1755014955997467,0.2949022054672241,0.9814376831054688
Batch_294,0.13079515099525452,0.2304113209247589,0.9810791015625
Batch_295,0.16060468554496765,0.2756252586841583,0.9805088043212891
Batch_296,0.23683570325374603,0.3814951777458191,0.9827003479003906
Batch_297,0.2538042366504669,0.3961676359176636,0.9829082489013672
Batch_298,0.1497417688369751,0.25828471779823303,0.9788646697998047
Batch_299,0.17763134837150574,0.30093926191329956,0.9814319610595703
Batch_300,0.20428067445755005,0.3368358016014099,0.9815387725830078
Batch_301,0.20740735530853271,0.34168535470962524,0.9806594848632812
Batch_302,0.20801818370819092,0.3427107334136963,0.9820404052734375
Batch_303,0.23586346209049225,0.37898242473602295,0.9808750152587891
Batch_304,0.167802095413208,0.28507429361343384,0.978607177734375
Batch_305,0.1875796616077423,0.31003525853157043,0.9821720123291016
Batch_306,0.23985248804092407,0.3818730115890503,0.9815616607666016
Batch_307,0.17432484030723572,0.29480189085006714,0.97991943359375
Batch_308,0.20339825749397278,0.3370915949344635,0.98187255859375
Batch_309,0.17230600118637085,0.28934401273727417,0.9820594787597656
Batch_310,0.1895398199558258,0.3120236396789551,0.9795055389404297
Batch_311,0.16396522521972656,0.2789839506149292,0.9801349639892578
Batch_312,0.18240663409233093,0.30618375539779663,0.9794845581054688
Batch_313,0.21920406818389893,0.34597647190093994,0.9837455749511719
Batch_314,0.12798520922660828,0.22118452191352844,0.9795780181884766
Batch_315,0.16373158991336823,0.2784658372402191,0.979400634765625
Batch_316,0.18942704796791077,0.3169773519039154,0.980804443359375
Batch_317,0.16341835260391235,0.2804059088230133,0.9783763885498047
Batch_318,0.19401593506336212,0.319137841463089,0.980743408203125
Batch_319,0.17704743146896362,0.2977690100669861,0.9792919158935547
Batch_320,0.21234405040740967,0.3478338122367859,0.9816532135009766
Batch_321,0.24183137714862823,0.38613438606262207,0.9850311279296875
Batch_322,0.15501070022583008,0.26808762550354004,0.97882080078125
Batch_323,0.2629735469818115,0.4133561849594116,0.9821720123291016
Batch_324,0.23728998005390167,0.3830324411392212,0.9819355010986328
Batch_325,0.1643659472465515,0.27828168869018555,0.9776573181152344
Batch_326,0.1631249189376831,0.27764248847961426,0.9794788360595703
Batch_327,0.17503368854522705,0.29660099744796753,0.9800682067871094
Batch_328,0.1601325422525406,0.2742491066455841,0.9800148010253906
Batch_329,0.1320561170578003,0.23122525215148926,0.9804191589355469
Batch_330,0.21766117215156555,0.35732778906822205,0.9814472198486328
Batch_331,0.17032968997955322,0.2857685983181,0.9828586578369141
Batch_332,0.18956170976161957,0.3138357996940613,0.9799289703369141
Batch_333,0.20708559453487396,0.33641988039016724,0.9822959899902344
Batch_334,0.24569569528102875,0.38706648349761963,0.9840297698974609
Batch_335,0.17614425718784332,0.2982785999774933,0.9813766479492188
Batch_336,0.226278156042099,0.3664052188396454,0.9821720123291016
Batch_337,0.2100900560617447,0.34097087383270264,0.9822998046875
Batch_338,0.19221945106983185,0.32051408290863037,0.9828300476074219
Batch_339,0.25550568103790283,0.4046427607536316,0.9840221405029297
Batch_340,0.1904279738664627,0.31739702820777893,0.9821376800537109
Batch_341,0.20351269841194153,0.33651381731033325,0.9820499420166016
Batch_342,0.14889436960220337,0.24020232260227203,0.9806118011474609
Batch_343,0.1629660278558731,0.2772700786590576,0.9807395935058594
Batch_344,0.19747799634933472,0.32967549562454224,0.9814338684082031
Batch_345,0.15964122116565704,0.27177560329437256,0.9821739196777344
Batch_346,0.28869473934173584,0.447719544172287,0.9855785369873047
Batch_347,0.23537024855613708,0.3742862343788147,0.9842605590820312
Batch_348,0.1816527247428894,0.30298829078674316,0.9810390472412109
Batch_349,0.1955881118774414,0.3256648778915405,0.9800682067871094
Batch_350,0.16634204983711243,0.284211665391922,0.9814376831054688
Batch_351,0.19277164340019226,0.31673702597618103,0.9805030822753906
Batch_352,0.1748175024986267,0.29682838916778564,0.9807872772216797
Batch_353,0.14669719338417053,0.24340251088142395,0.9803009033203125
Batch_354,0.13494998216629028,0.23639124631881714,0.9802112579345703
Batch_355,0.13337481021881104,0.23165255784988403,0.9796161651611328
Batch_356,0.18153473734855652,0.30623048543930054,0.9807376861572266
Batch_357,0.19684132933616638,0.3248976469039917,0.9812030792236328
Batch_358,0.13588058948516846,0.2372453212738037,0.9793243408203125
Batch_359,0.15049785375595093,0.25324517488479614,0.9793605804443359
Batch_360,0.1062769964337349,0.18651612102985382,0.9790916442871094
Batch_361,0.19398337602615356,0.31968462467193604,0.9812374114990234
Batch_362,0.1543351262807846,0.2647041082382202,0.9790267944335938
Batch_363,0.15826797485351562,0.27227166295051575,0.9794712066650391
Batch_364,0.2020483762025833,0.33318084478378296,0.9818706512451172
Batch_365,0.1467774212360382,0.2513507604598999,0.9790210723876953
Batch_366,0.14148680865764618,0.2460472583770752,0.9797725677490234
Batch_367,0.17652040719985962,0.29887276887893677,0.9821434020996094
Batch_368,0.19326408207416534,0.3186054229736328,0.9815673828125
Batch_369,0.17126226425170898,0.29051077365875244,0.9805030822753906
Batch_370,0.21116048097610474,0.3443561792373657,0.9812393188476562
Batch_371,0.18802881240844727,0.31205981969833374,0.9799537658691406
Batch_372,0.20322760939598083,0.33749067783355713,0.9829959869384766
Batch_373,0.21938341856002808,0.3519853353500366,0.9828262329101562
Batch_374,0.19105151295661926,0.3153679370880127,0.9799652099609375
Batch_375,0.2330320179462433,0.375839501619339,0.9832897186279297
Batch_376,0.16734498739242554,0.28339511156082153,0.9794120788574219
Batch_377,0.15091480314731598,0.25776058435440063,0.9806079864501953
Batch_378,0.15344034135341644,0.26303631067276,0.9814548492431641
Batch_379,0.14049094915390015,0.24536103010177612,0.9790802001953125
Batch_380,0.1937766969203949,0.32206428050994873,0.9827098846435547
Batch_381,0.20977216958999634,0.3440392017364502,0.9818477630615234
Batch_382,0.15587112307548523,0.2673376798629761,0.9793109893798828
Batch_383,0.21628087759017944,0.3530227541923523,0.9807701110839844
Batch_384,0.14654527604579926,0.25533509254455566,0.9786243438720703
Batch_385,0.2125837802886963,0.34842050075531006,0.9810333251953125
Batch_386,0.19546400010585785,0.3185153007507324,0.98077392578125
Batch_387,0.20139023661613464,0.3335871696472168,0.9828929901123047
Batch_388,0.19391921162605286,0.320794939994812,0.9813365936279297
Batch_389,0.16770541667938232,0.2852419316768646,0.9798946380615234
Batch_390,0.21274206042289734,0.345873087644577,0.9808216094970703
Batch_391,0.25966668128967285,0.410305917263031,0.9845542907714844
Batch_392,0.16799741983413696,0.2835178077220917,0.9798355102539062
Batch_393,0.1533050537109375,0.26204830408096313,0.9788455963134766
Batch_394,0.1584894359111786,0.27185502648353577,0.9805030822753906
Batch_395,0.21947431564331055,0.34673893451690674,0.9834976196289062
Batch_396,0.2002989649772644,0.32881060242652893,0.9826984405517578
Batch_397,0.2044726014137268,0.3391874432563782,0.9807453155517578
Batch_398,0.14388956129550934,0.24722382426261902,0.9827289581298828
Batch_399,0.14463701844215393,0.25191712379455566,0.9802436828613281
Batch_400,0.21623434126377106,0.34781908988952637,0.9830055236816406
Batch_401,0.17704448103904724,0.2978174090385437,0.9808979034423828
Batch_402,0.18188603222370148,0.3071463406085968,0.9809150695800781
Batch_403,0.18183566629886627,0.30490776896476746,0.9794101715087891
Batch_404,0.2263537496328354,0.36470383405685425,0.9808063507080078
Batch_405,0.2085002362728119,0.34131643176078796,0.9805755615234375
Batch_406,0.20108801126480103,0.3287562131881714,0.9800052642822266
Batch_407,0.21852219104766846,0.35779327154159546,0.9812812805175781
Batch_408,0.20452091097831726,0.33809036016464233,0.9806709289550781
Batch_409,0.15486717224121094,0.2608932554721832,0.9798221588134766
Batch_410,0.19048812985420227,0.31384217739105225,0.9816932678222656
Batch_411,0.2415318638086319,0.3837488293647766,0.9824962615966797
Batch_412,0.2732689678668976,0.42447030544281006,0.9819927215576172
Batch_413,0.1534869372844696,0.2649170458316803,0.9800376892089844
Batch_414,0.234758198261261,0.37127062678337097,0.9824352264404297
Batch_415,0.14844489097595215,0.256814181804657,0.978546142578125
Batch_416,0.17108656466007233,0.28942859172821045,0.9823284149169922
Batch_417,0.13618846237659454,0.23675188422203064,0.9794673919677734
Batch_418,0.194881409406662,0.3197726905345917,0.9823970794677734
Batch_419,0.15173125267028809,0.24589329957962036,0.9828891754150391
Batch_420,0.19629527628421783,0.3258837163448334,0.9811935424804688
Batch_421,0.15717114508152008,0.2656644582748413,0.9815845489501953
Batch_422,0.2041214257478714,0.33795374631881714,0.981109619140625
Batch_423,0.15584278106689453,0.2687692642211914,0.9800739288330078
Batch_424,0.20612633228302002,0.33791500329971313,0.9814586639404297
