epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.729,1.5672,1.57112,0.9927,0.3338,0.25708,0.23443,0.13466,1.45656,1.17267,0.94567,0.0002557,0.0002557,0.0002557
2,361.947,1.48343,1.17277,0.95437,0.37462,0.28165,0.26737,0.15517,1.42957,1.09406,0.93513,0.000501895,0.000501895,0.000501895
3,512.185,1.46978,1.13752,0.94905,0.37985,0.29203,0.27864,0.16411,1.40655,1.06734,0.93005,0.00073794,0.00073794,0.00073794
4,663.368,1.44705,1.11095,0.94313,0.39432,0.30158,0.29532,0.17536,1.39457,1.04192,0.92901,0.000723321,0.000723321,0.000723321
5,806.021,1.4214,1.07438,0.93769,0.41917,0.31687,0.31205,0.18658,1.37528,1.01278,0.92496,0.000708095,0.000708095,0.000708095
6,949.299,1.41359,1.04847,0.93352,0.43233,0.31583,0.31883,0.19072,1.37051,1.00679,0.92017,0.000692869,0.000692869,0.000692869
7,1095.23,1.39821,1.027,0.93004,0.445,0.32452,0.32615,0.19463,1.34548,0.99131,0.91852,0.000677643,0.000677643,0.000677643
8,1226.8,1.38275,1.00624,0.92608,0.42739,0.33024,0.32475,0.18922,1.37445,0.99257,0.91935,0.000662417,0.000662417,0.000662417
9,1358.33,1.36889,0.9941,0.92287,0.43581,0.33152,0.33266,0.19842,1.33871,0.97773,0.91531,0.00064719,0.00064719,0.00064719
10,1522.99,1.36665,0.98091,0.91871,0.45201,0.33123,0.33783,0.2021,1.33214,0.96591,0.91052,0.000631964,0.000631964,0.000631964
11,1758.96,1.34596,0.9541,0.91794,0.4458,0.34852,0.34877,0.20773,1.33237,0.97388,0.91226,0.000616738,0.000616738,0.000616738
12,2921.06,1.34308,0.96123,0.91638,0.45305,0.34865,0.34784,0.20562,1.32212,0.96133,0.91222,0.000601512,0.000601512,0.000601512
13,3068.01,1.33394,0.94389,0.91465,0.46829,0.34598,0.34876,0.20967,1.31248,0.94722,0.90783,0.000586286,0.000586286,0.000586286
14,3466.82,1.32258,0.93599,0.91036,0.4467,0.35623,0.3538,0.20958,1.31461,0.94111,0.90788,0.000571059,0.000571059,0.000571059
15,3668.35,1.32973,0.92991,0.91031,0.46607,0.35727,0.3631,0.21597,1.30417,0.93194,0.90853,0.000555833,0.000555833,0.000555833
16,3878.26,1.32442,0.92528,0.91122,0.47478,0.35609,0.36269,0.21634,1.30609,0.92943,0.90536,0.000540607,0.000540607,0.000540607
