epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4346.47,1.57018,1.58685,0.99391,0.29652,0.24336,0.2182,0.12639,1.46846,1.16656,0.94417,0.0002557,0.0002557,0.0002557
2,8429.54,1.49244,1.2032,0.95782,0.36277,0.273,0.25575,0.15004,1.45444,1.11496,0.93934,0.000501895,0.000501895,0.000501895
3,13777.5,1.48074,1.17573,0.95296,0.40824,0.27974,0.26999,0.15594,1.43696,1.12181,0.93878,0.00073794,0.00073794,0.00073794
4,18468.3,1.46248,1.13543,0.94777,0.36502,0.28558,0.27384,0.16228,1.42359,1.08966,0.93634,0.000723321,0.000723321,0.000723321
5,22476.6,1.43708,1.09243,0.94093,0.4021,0.31126,0.30383,0.17802,1.39015,1.04092,0.92599,0.000708095,0.000708095,0.000708095
